year,stake,north,east,z,depth_m,depth_cm
2021,80,5533648,501142,2079,5.376,537.6
2021,70,5533875,500975,1981,4.5275,452.75
2021,60,5534064,500936,1947,4.2,420
2021,50,5534351,500893,1901,3.796666667,379.6666667
2021,40,5534657,500708,1838,3.31,331
2021,30,5534850,500653,1813,2.9,290
2022,80,5533648,501142,2079,6.19,619
2022,70,5533873,500974,1981,6.06,606
2022,60,5534061,500935,1947,5.666,566.6
2022,50,5534348,500891,1901,4.9,490
2022,40,5534656,500709,1838,4.14,414
2022,30,5534851,500654,1813,3.96,396
2023,80,5533655,501143,2064,3.618,361.8
2023,70,5533880,500974,1959,3.754,375.4
2023,60,5534062,500937,1922,3.608,360.8
2023,50,5534350,500903,1879,3.17,317
2023,40,5534641,500737,1826,2.71,271
2023,30,5534847,500657,1813,2.31,231
2024,80,5533653,501142,2064,3.696,369.6
2024,70,5533877,500972,1961.115356,3.834,383.4
2024,60,5534062,500940,1924.473633,3.86,386
2024,50,5534351,500906,1879.084473,3.402,340.2
2024,40,5534641,500741,1826,2.87,287
2024,30,5534825,500734,1812.885132,2.96,296
