east,north,elevation,ice_thickness,record_time,label,type
500482.9367,5534957.197,1788.51001,4.62,04/05/2025 04:36:07 PM ,0_a,heli
500488.1002,5534958.643,1786.390015,3.94,04/05/2025 04:36:07 PM ,0_a,heli
500495.4151,5534960.2,1783.084961,3.27,04/05/2025 04:36:07 PM ,0_a,heli
500495.4151,5534960.2,1783.084961,2.93,04/05/2025 04:36:07 PM ,0_a,heli
500502.73,5534961.09,1781.145996,2.93,04/05/2025 04:36:08 PM ,0_a,heli
500507.2481,5534961.535,1780.089966,2.93,04/05/2025 04:36:08 PM ,0_a,heli
500507.9653,5534961.647,1779.848999,2.93,04/05/2025 04:36:08 PM ,0_a,heli
500517.1449,5534962.092,1777.952026,3.27,04/05/2025 04:36:09 PM ,0_a,heli
500518.6509,5534962.092,1777.608032,3.61,04/05/2025 04:36:09 PM ,0_a,heli
500528.5477,5534962.204,1775.532959,3.94,04/05/2025 04:36:09 PM ,0_a,heli
500533.4245,5534961.649,1774.68103,4.28,04/05/2025 04:36:10 PM ,0_a,heli
500540.5245,5534960.871,1773.088013,4.96,04/05/2025 04:36:10 PM ,0_a,heli
500545.1861,5534960.316,1771.969971,4.62,04/05/2025 04:36:10 PM ,0_a,heli
500545.6881,5534960.205,1771.750977,4.62,04/05/2025 04:36:11 PM ,0_a,heli
500550.8518,5534959.094,1770.890991,4.62,04/05/2025 04:36:11 PM ,0_a,heli
500557.3064,5534957.426,1770.203979,3.94,04/05/2025 04:36:11 PM ,0_a,heli
500563.3307,5534955.759,1769.994019,3.94,04/05/2025 04:36:11 PM ,0_a,heli
500565.4106,5534954.981,1769.957031,3.94,04/05/2025 04:36:12 PM ,0_a,heli
500566.5581,5534954.648,1769.875977,3.94,04/05/2025 04:36:12 PM ,0_a,heli
500566.5581,5534954.648,1769.875977,3.94,04/05/2025 04:36:12 PM ,0_a,heli
500569.7137,5534953.314,1769.750977,3.27,04/05/2025 04:36:12 PM ,0_a,heli
500575.1644,5534950.98,1769.677002,2.93,04/05/2025 04:36:13 PM ,0_a,heli
500577.5312,5534950.09,1769.692993,2.58,04/05/2025 04:36:13 PM ,0_a,heli
500577.5312,5534950.09,1769.692993,2.58,04/05/2025 04:36:14 PM ,0_a,heli
500577.5312,5534950.09,1769.692993,2.58,04/05/2025 04:36:14 PM ,0_a,heli
500577.5312,5534950.09,1769.692993,2.93,04/05/2025 04:36:14 PM ,0_a,heli
500579.0373,5534949.312,1769.713013,2.93,04/05/2025 04:36:15 PM ,0_a,heli
500583.986,5534946.978,1769.715942,3.27,04/05/2025 04:36:15 PM ,0_a,heli
500588.7912,5534944.644,1769.667969,3.61,04/05/2025 04:36:16 PM ,0_a,heli
500592.0186,5534943.087,1769.657959,3.94,04/05/2025 04:36:16 PM ,0_a,heli
500595.246,5534941.42,1769.620972,4.28,04/05/2025 04:36:17 PM ,0_a,heli
500598.4018,5534939.419,1769.68103,5.3,04/05/2025 04:36:17 PM ,0_a,heli
500601.5575,5534937.529,1769.61499,6.31,04/05/2025 04:36:18 PM ,0_a,heli
500604.785,5534935.417,1769.323975,7.32,04/05/2025 04:36:18 PM ,0_a,heli
500607.9408,5534933.194,1770.478027,8.33,04/05/2025 04:36:18 PM ,0_a,heli
500609.8772,5534931.971,1771.387939,9,04/05/2025 04:36:19 PM ,0_a,heli
500611.5269,5534930.859,1772.019043,9.68,04/05/2025 04:36:19 PM ,0_a,heli
500617.0495,5534926.635,1774.110962,10.68,04/05/2025 04:36:20 PM ,0_a,heli
500623.2177,5534921.966,1776.380981,11.36,04/05/2025 04:36:20 PM ,0_a,heli
500624.7239,5534920.632,1777.078003,12.03,04/05/2025 04:36:21 PM ,0_a,heli
500626.517,5534919.076,1777.755981,12.7,04/05/2025 04:36:21 PM ,0_a,heli
500629.4577,5534916.408,1778.555054,13.71,04/05/2025 04:36:21 PM ,0_a,heli
500632.3267,5534913.628,1779.511963,14.38,04/05/2025 04:36:22 PM ,0_a,heli
