date,temperature_2m
1950,1.9546317
1951,2.879305
1952,2.2384133
1953,1.0794629
1954,0.1306818
1955,0.7019433
1956,1.8575864
1957,1.8226523
1958,3.8607087
1959,0.7228327
1960,1.5613168
1961,2.7446296
1962,1.554453
1963,2.178813
1964,0.21529184
1965,2.3457248
1966,1.2741698
1967,2.5249324
1968,1.0552156
1969,1.7941998
1970,2.0685735
1971,1.2293714
1972,1.2781868
1973,1.3879907
1974,0.9870375
1975,1.7934781
1976,1.271324
1977,3.1099133
1978,3.4488976
1979,4.1277103
1980,3.401362
1981,3.6392705
1982,4.4024515
1983,3.3341236
1984,2.2165718
1985,4.3918986
1986,3.8350902
1987,4.89484
1988,3.6099813
1989,4.5687366
1990,5.5930967
1991,4.2183013
1992,5.273993
1993,4.195548
1994,4.9676747
1995,4.5768795
1996,3.1412995
1997,4.0285544
1998,6.314679
1999,2.8735027
2000,3.0402374
2001,3.223244
2002,3.936207
2003,4.6536365
2004,5.4882765
2005,4.454086
2006,5.574701
2007,3.4462013
2008,3.9073126
2009,5.802996
2010,3.8388348
2011,3.3389983
2012,4.8799434
2013,5.501212
2014,5.939039
2015,6.400777
2016,4.843546
2017,6.0927567
2018,5.8070946
2019,5.220657
2020,4.8471274
2021,5.9280095
2022,5.29902
2023,6.4532824
2024,5.5317273
2025,1.372477
